url_detalle,cargo_especifico,empresa_nombre,ubicacion_provincia,salario_mensual_base,experiencia_requerida,menciones_tecnologia,tipo_contrato,jornada,educacion_minima,modalidad
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-en-campo-trabaja-de-acuerdo-a-tu-zona-contrato-inmediato-comisiones-ilimitadas-ingreso-a-planilla-bono-de-movilidad-en-independencia-C30F79661C64F79A61373E686DCF3405,"Asesor de Ventas en Campo, Trabaja de acuerdo a tu zona","3,1Digital Max","Independencia, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-firma-de-contrato-en-ojt-canal-escrito-asesor-de-call-center-gana-mas-de-s1300-turno-pm-bono-de-movilidad-planilla-completa-san-isidro-en-san-isidro-C7BC520D985706C361373E686DCF3405,Firma de Contrato en OJT / Canal Escrito / Asesor de Call Center / Gana más de S/.1300 / Turno PM,"4,2Concentrix","San Isidro, Lima",,,3,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-multiskill-canal-escrito-telecomunicaciones-firma-de-contrato-en-ojt-back-office-san-isidro-gana-mas-de-s1300-movilidad-de-retorno-o-bono-de-movilidad-en-san-borja-C76BDB5980FD901261373E686DCF3405,Asesor Multiskill / Canal Escrito / Telecomunicaciones / Firma de Contrato en OJT / Back Office,"4,2Concentrix","San Borja, Lima",,,3,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-asesor-de-ventas-lima-centro-planilla-desde-el-1-dia-planilla-en-los-olivos-16D49B5DCF86EC6A61373E686DCF3405,Promotor Asesor de ventas / Lima Centro / Planilla desde el 1 día,"3,1Digital Max","Los Olivos, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-capacitacion-1-dia-asesor-de-ventas-en-campo-gana-1530-comisiones-s-3-700-lima-y-callao-descansa-domingos-y-feriados-retribucion-comisiones-movilidad-incentivos-en-brena-71BEF43FB882239A61373E686DCF3405,Capacitación 1 día/ Asesor de ventas en campo/ Gana 1530 + comisiones = S/ 3 700 / Lima y Callao,"3,1Digital Max","Breña, Lima",1500.0,,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-sin-experiencia-asesor-telefonico-aumento-de-plan-horario-am-capa-corta-planilla-completa--comisiones-capacitaciones-pagadas-en-chorrillos-D80B62B5C83CD9F361373E686DCF3405,¡Sin Experiencia!  Asesor Telefónico/ Aumento de Plan/  Horario AM/ Capa Corta,A365,"Chorrillos, Lima",,,3,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-desde-casa-asesor-crosselling-full-time-modalidad-remota-capacitacion-corta-y-pagada-planilla-completa-en-ate-9DE59B8D3E27F7B061373E686DCF3405,Trabaja desde CASA/ Asesor Crosselling/ Full Time / Modalidad remota,"4,3Konecta","Ate, Lima",1300.0,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-creditos-para-el-banco-scotiabank-con-experiencia-en-ventas-en-lince-A824992C8E5BC01861373E686DCF3405,Asesor de Créditos  para el Banco Scotiabank,"4,1Sef Peru Holding SAC","Lince, Lima",,1.0,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-unete-a-scotiabank-como-asesor-de-ventas-cs-exp-sueldo-fijo-comisiones-ilimitadas-planilla-en-la-victoria-13FFF773D61DECED61373E686DCF3405,Únete a Scotiabank como Asesor de Ventas C/S exp,"4,0MF Asesoria y Consultoria SAC","La Victoria, Lima",1130.0,1.0,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-empleo-part-time-asesor-de-ventas-financieras-sin-experiencia-san-borja-inicia-tu-camino-en-el-sector-financiero-en-san-luis-5DA39435713D8F6A61373E686DCF3405,¡Empleo Part Time! Asesor de Ventas Financieras / Sin Experiencia – San Borja,"4,1Sef Peru Holding SAC","San Luis, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-venta-de-servicios-medicos-clinica-salud-y-bienestar-sueldo-fijo-horario-lunes-a-viernes-san-isidro-en-san-isidro-E9907FD0AC8654B061373E686DCF3405,Asesor Venta de Servicios Médicos Clínica (Salud y Bienestar),RECREATIVOS CAMBRIDGE S.A.C.,"San Isidro, Lima",,,3,Contrato por Inicio o Incremento de Actividad,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-csin-exp-atencion-cliente-canal-escrito-o-voz-sky-call-centerbasicotarje-alimentovariable-sin-ojt-ingreso-directo-planilla-completa-vale-de-alimentos-en-santa-anita-981A3F50E964408761373E686DCF3405,Asesor C/Sin exp Atención Cliente Canal Escrito o VOZ SKY Call Center/Básico+Tarje Alimento+Variable,Grupo Expro,"Santa Anita, Lima",1130.0,,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-asesor-telefonico-sin-experiencia-chorrilloselige-tu-horariofull-time-o-part-time-planilla-completa--bonos-comisiones--capacitaciones-pagadas-en-chorrillos-BB9326B93FA6B97C61373E686DCF3405,¡Urgente! Asesor telefónico/ Sin experiencia/ Chorrillos/Elige tu horario/Full Time o Part Time,A365,"Chorrillos, Lima",,,3,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-part-time-asesor-call-centertrabaja-solo-sabado-y-domingodescansa-de-lunes-a-viernes-9-am-a-10-pm-presencial-centro-de-lima-capacitaciones-pagadas-semanal-contrato-anticipado-en-lima-5B181625E4146F1E61373E686DCF3405,Part Time Asesor Call center/Trabaja SOLO Sábado y Domingo/Descansa de Lunes a viernes/ 9 AM a 10 PM,"4,3Konecta","Lima, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Parcial,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-scotiabank-asesor-de-ventas-call-center-planilla-completa-e-ingreso-inmediato-comisiones-ilimitadas-incentivos-bonos-capacitacion-pagada-y-corta-en-lima-141D9FC43E9FB04961373E686DCF3405,Scotiabank /asesor de ventas call center / planilla completa e Ingreso Inmediato,"4,3Salesland Pacífico","Lima, Lima",,,3,Contrato por Obra Determinada o Servicio Específico,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-s-2200-asesor-de-contac-centeratencion-al-cliente-san-borja-turnos-rotativos-en-san-borja-BE4B8D082EEE551461373E686DCF3405,S/ 2200 Asesor de Contac Center/atención al cliente San Borja,Importante empresa del sector Financiero,"San Borja, Lima",,1.0,3,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-solo-6-horas-de-trabajocon-o-sin-experiencia-asesor-de-ventas-migracionesgana-mas-de-s1600-capacitaciones-cortas-y-pagadas-en-lima-F6DF077D03AFAE1761373E686DCF3405,Solo 6 Horas de Trabajo//Con o sin experiencia //Asesor de Ventas Migraciones//Gana más de S/.1600,"4,3Salesland Pacífico","Lima, Lima",1330.0,,3,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-6-horas-diarias-asesor-de-ventas-migraciones-gana-mas-de-1900-descansa-fijo-domingo-y-feriados-en-lima-DB0CCC1B30D8D33961373E686DCF3405,Trabaja 6 horas Diarias! Asesor de Ventas Migraciones/ GANA más de 1900!!,"4,3Salesland Pacífico","Lima, Lima",1130.0,,3,Contrato por Obra Determinada o Servicio Específico,Parcial,educación secundaria,Presencial
