id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
C5005F201E16621B61373E686DCF3405,Analista de Salud / Farmacia,SYNLAB Perú,Jesus Maria,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Parcial,1,4
9F22D45F6CD4EC3861373E686DCF3405,Analista de TI / Sistemas,Topstrategic  S.A.C.,San Borja,0,,,3,Mid-Level,técnico,3,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
43BF0583FA909C4A61373E686DCF3405,Analista (General),Hilandería de Algodón Peruano S.A.,San Juan De Lurigancho,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
4C2C9F77BC25BA1761373E686DCF3405,Analista de Contabilidad / Nóminas,Overall Strategy,San Borja,1,4800.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
C1A218521CEAECD061373E686DCF3405,Analista (General),Universidad Peruana Cayetano Heredia,San Isidro,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,6
ED96385DB313946461373E686DCF3405,Analista (General),OR MAQUINARIAS S.A.C,Cieneguilla,1,1200.0,Medio,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
F8D8F2BF18A59C9E61373E686DCF3405,Otros / No Especificado,Coopac Kori,Breña,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
91DEA51965F78F2C61373E686DCF3405,Analista (General),Adecco Perú S.A.,San Isidro,0,,,2,Mid-Level,universitario,4,Híbrido,1,1,Contrato a Plazo Indeterminado,Completa,0,5
B93C87222329BF7F61373E686DCF3405,Analista de Comercial / Ventas,Manpower,Lima,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,5
7473155A13426E5461373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,Lurin,0,,,1,Junior,educación secundaria,2,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
6F53E4AF717229AE61373E686DCF3405,Analista de Contabilidad / Nóminas,Adecco Perú S.A.,Lima,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,5
381B5BB0691B5ADB61373E686DCF3405,Analista de Contabilidad / Nóminas,Grupo Intercorp,San Borja,0,,,0,Junior,universitario,4,Híbrido,1,1,Contrato de Temporada,Completa,0,5
2065A8CDDA0F1B4461373E686DCF3405,Analista de Calidad / SSOMA,Importante empresa del sector,San Isidro,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
C7A8768B29C2572F61373E686DCF3405,Analista de Contabilidad / Nóminas,Grupo Tawa,Lima,0,,,1,Junior,técnico,3,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
E5A7F90A6F59210861373E686DCF3405,Analista de Contabilidad / Nóminas,Importante empresa del sector,Lima,0,,,2,Mid-Level,universitario,4,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
